Nr.;Bals.ID;Tema
1334;15534;4
1335;15534;4
1336;15534;4
1337;15534;4
1338;15534;4
1339;15535;6
1340;15536;1
1341;15537;1
1342;15538;1
1343;15539;1
1344;15540;1
1345;15541;1
1346;15541;1
1347;15541;1
1348;15541;1
1349;15541;1
1350;15542;6
1351;15543;4
1352;15544;4
1353;15545;5
1354;15546;4
1355;15547;5
1356;15548;5
1357;15549;4
1358;15550;3
1359;15551;4
1360;15552;5
1361;15553;5
1362;15554;5
1363;15555;2
1364;15556;4
1365;15557;4
1366;15558;5
1367;15559;5
1368;15560;4
1369;15562;4
1370;15564;3
1371;15567;5
1372;15569;5
1373;15570;5
1374;15571;5
1375;15572;5
1376;15573;5
1377;15575;5
1378;15576;5
1379;15576;5
1380;15577;4
1381;15578;1
1382;15579;2
1383;15580;2
1384;15583;5
1385;15583;5
1386;15584;5
1387;15584;5
1388;15585;2
1389;15586;6
1390;15587;6
1391;15587;6
1392;15588;1
1393;15588;1
1394;15589;4
1395;15590;5
1396;15591;5
1397;15591;5
1398;15593;1
1399;15595;1
1400;15595;1
1401;15596;1
1402;15596;1
1403;15596;1
1404;15596;1
1405;15597;2
1406;15597;2
1407;15598;2
1408;15599;5
1409;15600;5
1410;15601;4
1411;15602;5
1412;15603;5
1413;15604;5
1414;15606;5
1415;15607;2
1416;15608;5
1417;15610;5
1418;15611;1
1419;15613;5
1420;15614;5
1421;15615;5
1422;15616;5
1423;15616;5
1424;15617;5
1425;15618;5
1426;15619;5
1427;15622;1
1428;15625;4
1429;15626;5
1430;15627;5
1431;15631;5
1432;15631;5
1433;15631;5
1434;15632;5
1435;15637;3
1436;15644;1
1437;15648;2
1438;15650;3
1439;15651;3
1440;15653;5
1441;15654;3
1442;15660;1
1443;15663;5
1444;15665;1
1445;15665;1
1446;15665;1
1447;15665;1
1448;15665;1
1449;15666;5
1450;15667;5
1451;15674;5
1452;15675;5
1453;15676;5
1454;15677;2
1455;15678;3
1456;15680;4
1457;15682;1
1458;15682;1
1459;15682;1
1460;15682;1
1461;15683;1
1462;15684;1
1463;15686;2
1464;15688;4
1465;15691;5
1466;15692;1
1467;15693;4
1468;15698;1
1469;15700;1
1470;15701;5
1471;15702;3
1472;15703;3
1473;15704;2
1474;15706;5
1475;15707;5
1476;15712;2
1477;15714;3
1478;15714;3
1479;15714;3
1480;15715;5
1481;15716;2
1482;15717;5
1483;15718;5
1484;15719;5
1485;15720;5
1486;15721;5
1487;15722;5
1488;15723;3
1489;15724;3
1490;15725;4
1491;15725;4
1492;15725;4
1493;15725;4
1494;15725;4
1495;15725;4
1496;15725;4
1497;15725;4
1498;15725;4
1499;15725;4
1500;15725;4
1501;15725;4
1502;15725;4
1503;15725;4
1504;15725;4
1505;15725;4
1506;15725;4
1507;15731;5
1508;15732;4
1509;15733;1
1510;15736;1
1511;15738;5
1512;15738;5
1513;15740;1
1514;15740;1
1515;15741;1
1516;15743;5
1517;15744;5
1518;15745;5
1519;15746;1
1520;15749;1
1521;15750;5
1522;15752;4
1523;15752;4
1524;15752;4
1525;15753;4
1526;15754;4
1527;15755;5
1528;15756;1
1529;15756;1
1530;15758;2
1531;15760;4
1532;15761;3
1533;15761;3
1534;15761;3
1535;15763;1
1536;15763;1
1537;15763;1
1538;15764;1
1539;15764;1
1540;15765;6
1541;15766;1
1542;15767;1
1543;15770;6
1544;15774;6
1545;15775;6
1546;15776;6
1547;15777;6
1548;15777;6
1549;15777;6
1550;15777;6
1551;15779;6
1552;15780;6
1553;15781;5
1554;15784;4
1555;15786;3
1556;15786;3
1557;15786;3
1558;15787;2
1559;15789;5
1560;15790;4
1561;15791;4
1562;15792;5
1563;15795;3
1564;15798;1
1565;15801;1
1566;15808;1
1567;15811;1
1568;15814;1
1569;15825;3
1570;15829;1
1571;15832;2
1572;15838;1
1573;15839;4
1574;15840;4
